date,partner_id,venue_id,access_distribution,venue_type,is_revolving
2024-12-01,1049e313-07fa-48e6-84e3-9a27fa946856,6694ee525441bdcf940c7292,across-locations,beach club,true
2024-12-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a086a1a759920cc3f8c35,across-locations,gym,false
2024-12-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a0995221b9d3eb7589ec2,across-locations,gym,false
2024-12-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a0fa218b12f5e2b13c422,across-locations,gym,false
2024-12-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a0ff925925f583368ab78,across-locations,gym,false
2024-12-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a173aa23b7531226123a2,across-locations,gym,false
2024-12-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a17ebfdf90e4e366bd302,across-locations,gym,false
2024-12-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a18907bda34429747b7d6,across-locations,gym,false
2024-12-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a3b6c4215be5d1a744685,across-locations,gym,false
2024-12-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,635f9a728ef3ac05540086d2,across-locations,gym,false
2024-12-14,ddd510ee-5d09-48d5-88e2-dc4723f54631,674e91cbfc278ea2dd0091b6,across-locations,gym,false
2024-12-16,1049e313-07fa-48e6-84e3-9a27fa946856,6694ee525441bdcf940c7292,across-locations,beach club,true
2024-12-23,dddfde6b-6f71-406f-80ca-b8313b089eaf,660e98761bd24057571a6023,across-locations,hotel,true
2024-12-24,887b75e1-c976-46ba-8312-270880f98df7,65e7069e6869931bbd178b83,across-locations,hotel,true
2024-10-01,2d92c7f0-0683-499e-be09-7686ac28e4db,65ddbea6697792037533e002,across-locations,beach club,true
2024-10-01,2d92c7f0-0683-499e-be09-7686ac28e4db,65ddb8f1ee1b106361367a62,across-locations,hotel,true
2024-10-15,761c4432-7c70-44d3-8b21-2c12e5f38022,660a607bb277433a434b4682,across-locations,beach club,true
2024-10-24,09e7e8d5-f4a6-4190-8260-ebf4879dc8ad,5e5b9f3d25e43a4365436fd0,across-locations,hotel,true
2024-10-31,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a086a1a759920cc3f8c35,across-locations,gym,false
2024-10-31,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a0995221b9d3eb7589ec2,across-locations,gym,false
2024-10-31,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a0fa218b12f5e2b13c422,across-locations,gym,false
2024-10-31,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a0ff925925f583368ab78,across-locations,gym,false
2024-10-31,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a173aa23b7531226123a2,across-locations,gym,false
2024-10-31,ddd510ee-5d09-48d5-88e2-dc4723f54631,619a17ebfdf90e4e366bd302,across-locations,gym,false
