date,venue_id,capacity_adults
2024-12-05,635f9a728ef3ac05540086d2,80
2024-10-02,635f9a728ef3ac05540086d2,80
2024-11-01,635f9a728ef3ac05540086d2,80
2024-12-23,64ca21027586c968a13385e2,30
2024-12-23,64ca20d71792c11020139712,60
2024-10-18,635f9a728ef3ac05540086d2,80
2024-10-26,635f9a728ef3ac05540086d2,80
2024-12-25,64ca21027586c968a13385e2,30
2024-12-25,64ca20d71792c11020139712,60
2024-10-14,64ca21027586c968a13385e2,30
2024-10-14,64ca20d71792c11020139712,60
2024-11-02,64ca21027586c968a13385e2,30
2024-11-02,64ca20d71792c11020139712,60
2024-11-22,635f9a728ef3ac05540086d2,80
2024-12-08,64ca21027586c968a13385e2,30
2024-12-08,64ca20d71792c11020139712,60
2024-12-18,635f9a728ef3ac05540086d2,80
2024-11-30,64ca21027586c968a13385e2,30
2024-11-30,64ca20d71792c11020139712,60
2024-11-28,64ca21027586c968a13385e2,30
2024-11-28,64ca20d71792c11020139712,60
2024-11-07,635f9a728ef3ac05540086d2,80
2024-11-28,635f9a728ef3ac05540086d2,80
2024-11-26,635f9a728ef3ac05540086d2,80
2024-12-30,635f9a728ef3ac05540086d2,80
2024-11-10,635f9a728ef3ac05540086d2,80
2024-12-07,64ca21027586c968a13385e2,30
2024-12-07,64ca20d71792c11020139712,60
2024-12-19,64ca21027586c968a13385e2,30
2024-12-19,64ca20d71792c11020139712,60
2024-10-24,635f9a728ef3ac05540086d2,80
2024-10-28,635f9a728ef3ac05540086d2,80
2024-11-07,64ca21027586c968a13385e2,30
2024-11-07,64ca20d71792c11020139712,60
2024-11-29,635f9a728ef3ac05540086d2,80
2024-10-01,64ca21027586c968a13385e2,30
2024-10-01,64ca20d71792c11020139712,60
2024-10-08,635f9a728ef3ac05540086d2,80
2024-12-19,635f9a728ef3ac05540086d2,80
2024-10-06,635f9a728ef3ac05540086d2,80
2024-10-20,635f9a728ef3ac05540086d2,80
2024-10-04,635f9a728ef3ac05540086d2,80
2024-10-09,635f9a728ef3ac05540086d2,80
2024-12-04,64ca21027586c968a13385e2,30
2024-12-04,64ca20d71792c11020139712,60
2024-10-24,64ca21027586c968a13385e2,30
2024-10-24,64ca20d71792c11020139712,60
2024-11-03,635f9a728ef3ac05540086d2,80
2024-11-19,635f9a728ef3ac05540086d2,80
2024-11-24,64ca21027586c968a13385e2,30
2024-11-24,64ca20d71792c11020139712,60
2024-10-27,64ca21027586c968a13385e2,30
2024-10-27,64ca20d71792c11020139712,60
2024-12-04,635f9a728ef3ac05540086d2,80
2024-10-31,64ca21027586c968a13385e2,30
2024-10-31,64ca20d71792c11020139712,60
2024-12-09,64ca21027586c968a13385e2,30
2024-12-09,64ca20d71792c11020139712,60
2024-10-26,64ca21027586c968a13385e2,30
2024-10-26,64ca20d71792c11020139712,60
2024-12-28,635f9a728ef3ac05540086d2,80
2024-10-23,635f9a728ef3ac05540086d2,80
2024-12-10,64ca21027586c968a13385e2,30
2024-12-10,64ca20d71792c11020139712,60
2024-11-12,635f9a728ef3ac05540086d2,80
2024-12-13,635f9a728ef3ac05540086d2,80
2024-11-27,64ca21027586c968a13385e2,30
2024-11-27,64ca20d71792c11020139712,60
2024-12-20,64ca21027586c968a13385e2,30
2024-12-20,64ca20d71792c11020139712,60
2024-10-17,64ca21027586c968a13385e2,30
2024-10-17,64ca20d71792c11020139712,60
2024-11-22,64ca21027586c968a13385e2,30
2024-11-22,64ca20d71792c11020139712,60
2024-12-15,64ca21027586c968a13385e2,30
2024-12-15,64ca20d71792c11020139712,60
2024-10-15,635f9a728ef3ac05540086d2,80
2024-10-21,64ca21027586c968a13385e2,30
2024-10-21,64ca20d71792c11020139712,60
